provenance_id,provenance_participant_type,practitioner_identifier,organization_identifier
9cb02794-8917-82ae-340d-177aa8d440c7,Author,Dr. Wilmer32 Heidenreich818,MASS LUNG AND ALLERGY PC
9cb02794-8917-82ae-340d-177aa8d440c7,Transmitter,Dr. Wilmer32 Heidenreich818,MASS LUNG AND ALLERGY PC
b87a446c-e2c1-afc0-d209-3013f1ad2c42,Author,Dr. Hoyt490 Herman763,PCP144782
b87a446c-e2c1-afc0-d209-3013f1ad2c42,Transmitter,Dr. Hoyt490 Herman763,PCP144782
ca70682d-4117-b4b4-03b4-ab7e17a8ec51,Author,Dr. Loma263 Funk324,MEDEXPRESS URGENT CARE PC MASSACHUSETTS
ca70682d-4117-b4b4-03b4-ab7e17a8ec51,Transmitter,Dr. Loma263 Funk324,MEDEXPRESS URGENT CARE PC MASSACHUSETTS
ea16804f-0a72-c4fb-1cf9-b3feae81cfde,Author,Dr. Teodora360 Kihn564,"STANLEY STREET TREATMENT AND RESOURCES, INC"
ea16804f-0a72-c4fb-1cf9-b3feae81cfde,Transmitter,Dr. Teodora360 Kihn564,"STANLEY STREET TREATMENT AND RESOURCES, INC"
bb9594e6-be20-83d7-2883-edfa309b0e60,Author,Dr. Jayson808 Keeling57,PCP170405
bb9594e6-be20-83d7-2883-edfa309b0e60,Transmitter,Dr. Jayson808 Keeling57,PCP170405
9efe1256-dcad-8d92-4701-6ae6571c02f6,Author,Dr. Jocelyn538 Green467,PCP45409
9efe1256-dcad-8d92-4701-6ae6571c02f6,Transmitter,Dr. Jocelyn538 Green467,PCP45409
2e1c7154-5151-38c5-2cb2-f129f0061060,Author,Dr. Willie882 Ebert178,PCP222354
2e1c7154-5151-38c5-2cb2-f129f0061060,Transmitter,Dr. Willie882 Ebert178,PCP222354
e3bee932-15de-46c7-430e-a0e9d9e1433c,Author,Dr. Reinaldo138 Zieme486,Edith Nourse Rogers Memorial Veterans Hospital (Bedford VA)
e3bee932-15de-46c7-430e-a0e9d9e1433c,Transmitter,Dr. Reinaldo138 Zieme486,Edith Nourse Rogers Memorial Veterans Hospital (Bedford VA)
bdd0bc42-661b-0841-be8a-a69334c9ac4b,Author,Dr. Willena258 Oberbrunner298,NEPHROLOGY ASSSOCIATES OF THE MERRIMACK VALLEY PC
bdd0bc42-661b-0841-be8a-a69334c9ac4b,Transmitter,Dr. Willena258 Oberbrunner298,NEPHROLOGY ASSSOCIATES OF THE MERRIMACK VALLEY PC
2c71cded-ab89-393c-58e9-91d17cde96a3,Author,Dr. Isaac321 Hudson301,VHM SERVICES INC
2c71cded-ab89-393c-58e9-91d17cde96a3,Transmitter,Dr. Isaac321 Hudson301,VHM SERVICES INC
25e5fb6b-40c0-c6c8-afb4-ab010a5efb5b,Author,Dr. Tuan998 Fadel536,PCP25388
25e5fb6b-40c0-c6c8-afb4-ab010a5efb5b,Transmitter,Dr. Tuan998 Fadel536,PCP25388
40658837-ad1d-8862-701a-7b6e96487f3b,Author,Dr. Demetrice140 Crooks415,PCP19321
40658837-ad1d-8862-701a-7b6e96487f3b,Transmitter,Dr. Demetrice140 Crooks415,PCP19321
d668e492-f31e-8286-294f-fc4a6d2d41fb,Author,Dr. Ted955 Beer512,"SANDWICH PHYSICAL THERAPY, INC"
d668e492-f31e-8286-294f-fc4a6d2d41fb,Transmitter,Dr. Ted955 Beer512,"SANDWICH PHYSICAL THERAPY, INC"
8404f714-f1a1-7c25-1eda-1669c8c4fd87,Author,Dr. Milo271 Stanton715,PERFORMANCE REHABILITATION OF WESTERN NEW ENGLAND LLC
8404f714-f1a1-7c25-1eda-1669c8c4fd87,Transmitter,Dr. Milo271 Stanton715,PERFORMANCE REHABILITATION OF WESTERN NEW ENGLAND LLC
b668ddc8-3944-5211-c77a-2c4085f0d39f,Author,Dr. Chia293 Jerde200,PCP905
b668ddc8-3944-5211-c77a-2c4085f0d39f,Transmitter,Dr. Chia293 Jerde200,PCP905
4f1e155f-94ce-524c-a858-ecbd134cf3c7,Author,Dr. Myrna889 Schmitt836,GUARDIAN BROCKTON PC
4f1e155f-94ce-524c-a858-ecbd134cf3c7,Transmitter,Dr. Myrna889 Schmitt836,GUARDIAN BROCKTON PC
8909f5f7-2e60-c508-7f27-15ed399c368b,Author,Dr. Ingrid581 Jacobson885,PCP10332
8909f5f7-2e60-c508-7f27-15ed399c368b,Transmitter,Dr. Ingrid581 Jacobson885,PCP10332
74f0d960-3e7e-56b7-9981-0d4acc025e5b,Author,Dr. Andrea7 Hirthe744,PCP22036
74f0d960-3e7e-56b7-9981-0d4acc025e5b,Transmitter,Dr. Andrea7 Hirthe744,PCP22036
bddd41c5-cb13-2bcc-822b-467c4c09bd99,Author,Dr. Darrick836 Franecki195,CARL GUSTAFSON LLC
bddd41c5-cb13-2bcc-822b-467c4c09bd99,Transmitter,Dr. Darrick836 Franecki195,CARL GUSTAFSON LLC
5e762907-4041-49db-0058-d5f4ddf7b418,Author,Dr. Lianne167 Armstrong51,PCP80177
5e762907-4041-49db-0058-d5f4ddf7b418,Transmitter,Dr. Lianne167 Armstrong51,PCP80177
aba9e70f-0349-9639-5d65-a3767f92f20f,Author,Dr. Anton902 Graham902,PCP169387
aba9e70f-0349-9639-5d65-a3767f92f20f,Transmitter,Dr. Anton902 Graham902,PCP169387
eae17b61-6f62-0642-b03a-91490b14dad4,Author,Dr. Alberto639 Muller251,PCP356252
eae17b61-6f62-0642-b03a-91490b14dad4,Transmitter,Dr. Alberto639 Muller251,PCP356252
f1ae8e11-51ce-7812-ed77-ea88088e6408,Author,Dr. Sharyn437 Hand679,PCP59391
f1ae8e11-51ce-7812-ed77-ea88088e6408,Transmitter,Dr. Sharyn437 Hand679,PCP59391
4181ba4e-ca9f-e6c5-c819-1b28158426f5,Author,Dr. Regena252 Kunde533,PCP147396
4181ba4e-ca9f-e6c5-c819-1b28158426f5,Transmitter,Dr. Regena252 Kunde533,PCP147396
879e6aa0-c692-5bd5-3c99-2901f3978707,Author,Dr. Sandy901 Turner526,DEBS CHIROPRACTIC P.C.
879e6aa0-c692-5bd5-3c99-2901f3978707,Transmitter,Dr. Sandy901 Turner526,DEBS CHIROPRACTIC P.C.
d56f6091-80ed-41a1-b38b-0f9385d7a784,Author,Dr. Regena252 Kunde533,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION
d56f6091-80ed-41a1-b38b-0f9385d7a784,Transmitter,Dr. Regena252 Kunde533,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION
239437f2-1733-c348-2b41-7548ba9ecc25,Author,Dr. Hobert364 King743,Causeway OPC
239437f2-1733-c348-2b41-7548ba9ecc25,Transmitter,Dr. Hobert364 King743,Causeway OPC
ebf77b3c-93d0-bd4f-d4c9-290ad256f147,Author,Dr. Andrea7 Hirthe744,BENNETT FAMILY EYE CARE PC
ebf77b3c-93d0-bd4f-d4c9-290ad256f147,Transmitter,Dr. Andrea7 Hirthe744,BENNETT FAMILY EYE CARE PC
567623f5-630f-012e-4e23-26bffb2e79cd,Author,Dr. Regena252 Kunde533,PCP147396
567623f5-630f-012e-4e23-26bffb2e79cd,Transmitter,Dr. Regena252 Kunde533,PCP147396
